Function,Counter,Kernel
format_body,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\lauraosede\how-to-extract-data-from-json-file-to-dataframe\how-to-extract-data-from-json-file-to-dataframe-utf8.py
to_csv,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\lauraosede\how-to-extract-data-from-json-file-to-dataframe\how-to-extract-data-from-json-file-to-dataframe-utf8.py
append,18,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
find_relevant_articles,11,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
join,9,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
str,6,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
DataFrame,6,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
len,6,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
range,6,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
drop_duplicates,5,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
list,4,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
count,4,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
bar,4,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
dropna,4,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
info,4,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
format,4,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
log,4,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
head,3,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
display_barchart,3,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
annotate,3,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
format_authors,3,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
open,3,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
pickle_to_file,3,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
get_ipython,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
system,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
lower,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
get,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
values,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
load,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
format_body,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
concat,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
get_tokenized_and_normalized_list,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
calc_tf_idf,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
sqrt,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
keys,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
filterwarnings,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
read_csv,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
tolist,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
xticks,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
legend,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
DatetimeIndex,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
compile,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
int,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
bool,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
search,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
checkYear,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
apply,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
reset_index,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
contains,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
extend,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
format_name,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
format_affiliation,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
items,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
type,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
deepcopy,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
format_bib,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
drop,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
load_files,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
generate_clean_df,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
get_corpus,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
defaultdict,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
mod,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
zfill,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
create_vector,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
word_tokenize,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
PorterStemmer,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
stem,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
get_dot_product,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
sorted,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
dumps,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
optimize,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
write,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
iterate_over_all_docs,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
generate_inverted_index,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
create_tf_idf_vector,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
download_bnpp_data,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
download_model,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
input,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
create_vector_from_query,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
get_tf_idf_from_query_vect,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
get_result_from_query_vect,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
replace,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
split,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
array,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
reshape,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
filter_paragraphs,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
QAPipeline,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
fit_retriever,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
predict,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
add_Each_Details,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
display,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
HTML,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
to_html,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasadvpatil\kletech-5d-c11\kletech-5d-c11-utf8.py
append,14,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
lower,13,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
join,12,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
head,7,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
list,6,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
len,5,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
print,5,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
range,5,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
answer_question,5,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
split,4,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
str,4,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
read_csv,4,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
count,4,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
bar,4,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
drop_duplicates,4,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
info,4,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
fillna,4,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
clean_sent,4,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
sorted,4,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
enumerate,4,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
to_csv,4,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
format_authors,3,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
DataFrame,3,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
display_barchart,3,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
annotate,3,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
dropna,3,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
apply,3,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
reset_index,3,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
download,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
get,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
values,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
items,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
tqdm,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
load,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
open,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
format_body,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
drop,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
rename,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
keys,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
from_pretrained,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
tensor,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
argmax,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
detach,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
numpy,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
flatten,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
ValueError,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
hasNumbers,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
match,2,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
get_ipython,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
system,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
PorterStemmer,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
set,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
words,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
isnumeric,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
isalpha,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
stem,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
extend,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
format_name,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
format_affiliation,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
type,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
deepcopy,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
listdir,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
format_bib,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
tolist,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
xticks,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
legend,1,D:\sample1\allen-institute-for-ai\CORD-19-research-challenge\kernels\prasannkshirasagar\kletech-5d-c11\kletech-5d-c11-utf8.py
