ref,deadline,category,reward,teamCount,userHasEntered,No competitions found
lish-moa,2020-11-30 23:59:00,Research,"$30,000",4373.0,False,
conways-reverse-game-of-life-2020,2020-11-30 23:59:00,Playground,Swag,188.0,False,
lyft-motion-prediction-autonomous-vehicles,2020-11-25 23:59:00,Featured,"$30,000",935.0,False,
rsna-str-pulmonary-embolism-detection,2020-10-26 23:59:00,Featured,"$30,000",784.0,False,
osic-pulmonary-fibrosis-progression,2020-10-06 23:59:00,Featured,"$55,000",2097.0,False,
stanford-covid-vaccine,2020-10-06 23:59:00,Research,"$25,000",1636.0,False,
landmark-recognition-2020,2020-09-29 23:59:00,Research,"$25,000",736.0,False,
halite,2020-09-22 23:59:00,Featured,Swag,1139.0,False,
birdsong-recognition,2020-09-15 23:59:00,Research,"$25,000",1390.0,False,
global-wheat-detection,2020-08-19 01:59:00,Research,"$15,000",2245.0,False,
landmark-retrieval-2020,2020-08-17 23:59:00,Research,"$25,000",541.0,False,
siim-isic-melanoma-classification,2020-08-17 23:59:00,Featured,"$30,000",3308.0,False,
open-images-object-detection-rvc-2020,2020-08-14 16:00:00,Playground,Knowledge,89.0,False,
open-images-instance-segmentation-rvc-2020,2020-08-14 16:00:00,Playground,Knowledge,18.0,False,
hashcode-photo-slideshow,2020-07-27 23:59:00,Playground,Knowledge,89.0,False,
prostate-cancer-grade-assessment,2020-07-22 23:59:00,Featured,"$25,000",1010.0,False,
alaska2-image-steganalysis,2020-07-20 23:59:00,Research,"$25,000",1095.0,False,
m5-forecasting-accuracy,2020-06-30 23:59:00,Featured,"$50,000",5558.0,False,
m5-forecasting-uncertainty,2020-06-30 23:59:00,Featured,"$50,000",909.0,False,
trends-assessment-prediction,2020-06-29 23:59:00,Research,"$25,000",1047.0,False,
jigsaw-multilingual-toxic-comment-classification,2020-06-22 23:59:00,Featured,"$50,000",1621.0,False,
tweet-sentiment-extraction,2020-06-16 23:59:00,Featured,"$15,000",2225.0,False,
trec-covid-information-retrieval,2020-06-03 11:00:00,Research,Kudos,19.0,False,
imet-2020-fgvc7,2020-05-28 23:59:00,Research,Knowledge,96.0,False,
abstraction-and-reasoning-challenge,2020-05-27 23:59:00,Research,"$20,000",913.0,False,
iwildcam-2020-fgvc7,2020-05-26 23:59:00,Research,Knowledge,121.0,False,
herbarium-2020-fgvc7,2020-05-26 23:59:00,Research,Knowledge,153.0,False,
plant-pathology-2020-fgvc7,2020-05-26 23:59:00,Research,Knowledge,1317.0,False,
imaterialist-fashion-2020-fgvc7,2020-05-26 23:59:00,Research,Knowledge,56.0,False,
liverpool-ion-switching,2020-05-25 23:59:00,Research,"$25,000",2618.0,False,
flower-classification-with-tpus,2020-05-11 23:59:00,Playground,Prizes,848.0,False,
covid19-global-forecasting-week-5,2020-05-11 23:59:00,Research,Kudos,173.0,False,
march-madness-analytics-2020,2020-04-30 23:59:00,Analytics,"$25,000",0.0,False,
deepfake-detection-challenge,2020-04-23 22:17:00,Featured,"$1,000,000",2265.0,False,
covid19-global-forecasting-week-4,2020-04-15 23:59:00,Research,Knowledge,472.0,False,
covid19-global-forecasting-week-3,2020-04-08 23:59:00,Research,Knowledge,452.0,False,
covid19-global-forecasting-week-2,2020-04-06 03:56:00,Research,Knowledge,215.0,False,
cat-in-the-dat-ii,2020-03-31 23:59:00,Playground,Swag,1161.0,False,
imagenet-object-localization-challenge,2020-03-26 23:59:00,Research,Knowledge,75.0,False,
covid19-global-forecasting-week-1,2020-03-25 23:59:00,Research,Knowledge,545.0,False,
covid19-local-us-ca-forecasting-week-1,2020-03-25 23:59:00,Research,Knowledge,190.0,False,
ds4g-environmental-insights-explorer,2020-03-24 23:59:00,Analytics,"$25,000",0.0,False,
google-cloud-ncaa-march-madness-2020-division-1-womens-tournament,2020-03-20 15:00:00,Featured,Kudos,0.0,False,
google-cloud-ncaa-march-madness-2020-division-1-mens-tournament,2020-03-19 15:00:00,Featured,Kudos,0.0,False,
bengaliai-cv19,2020-03-16 23:59:00,Research,"$10,000",2059.0,False,
google-quest-challenge,2020-02-10 23:59:00,Featured,"$25,000",1571.0,False,
tensorflow2-question-answering,2020-01-22 23:59:00,Featured,"$50,000",1233.0,False,
data-science-bowl-2019,2020-01-22 23:59:00,Featured,"$160,000",3493.0,False,
pku-autonomous-driving,2020-01-21 23:59:00,Featured,"$25,000",864.0,False,
santa-2019-revenge-of-the-accountants,2020-01-16 23:59:00,Playground,Swag,106.0,False,
santa-workshop-tour-2019,2020-01-15 23:59:00,Featured,"$25,000",1618.0,False,
nfl-big-data-bowl-2020,2020-01-06 23:59:00,Featured,"$75,000",2038.0,False,
nfl-playing-surface-analytics,2020-01-02 23:59:00,Analytics,"$75,000",0.0,False,
ashrae-energy-prediction,2019-12-19 23:59:00,Featured,"$25,000",3614.0,False,
Kannada-MNIST,2019-12-17 23:59:00,Playground,Knowledge,1212.0,False,
bigquery-geotab-intersection-congestion,2019-12-12 23:59:00,Playground,Kudos,432.0,False,
cat-in-the-dat,2019-12-09 23:59:00,Playground,Swag,1338.0,False,
kaggle-survey-2019,2019-12-02 23:59:00,Analytics,"$30,000",0.0,False,
understanding_cloud_organization,2019-11-18 23:59:00,Research,"$10,000",1531.0,False,
rsna-intracranial-hemorrhage-detection,2019-11-13 23:59:00,Featured,"$25,000",1345.0,False,
3d-object-detection-for-autonomous-vehicles,2019-11-12 23:59:00,Featured,"$25,000",546.0,False,
severstal-steel-defect-detection,2019-10-24 23:59:00,Featured,"$120,000",2427.0,False,
kuzushiji-recognition,2019-10-14 23:59:00,Playground,"$15,000",293.0,False,
youtube8m-2019,2019-10-11 23:59:00,Research,"$25,000",282.0,False,
ieee-fraud-detection,2019-10-03 23:59:00,Research,"$20,000",6351.0,False,
open-images-2019-object-detection,2019-10-01 23:59:00,Research,"$25,000",558.0,False,
open-images-2019-visual-relationship,2019-10-01 23:59:00,Research,"$25,000",200.0,False,
open-images-2019-instance-segmentation,2019-10-01 23:59:00,Research,"$25,000",193.0,False,
recursion-cellular-image-classification,2019-09-26 23:59:00,Research,"$13,000",865.0,False,
aptos2019-blindness-detection,2019-09-07 23:59:00,Featured,"$50,000",2928.0,False,
ciphertext-challenge-iii,2019-09-05 23:59:00,Playground,Swag,103.0,False,
siim-acr-pneumothorax-segmentation,2019-09-04 23:59:00,Featured,"$30,000",1475.0,False,
champs-scalar-coupling,2019-08-28 23:59:00,Featured,"$30,000",2737.0,False,
generative-dog-images,2019-08-28 19:23:00,Research,"$10,000",927.0,False,
recognizing-faces-in-the-wild,2019-08-08 23:59:00,Playground,Knowledge,522.0,False,
two-sigma-financial-news,2019-08-05 23:59:00,Featured,"$100,000",2927.0,False,
jigsaw-unintended-bias-in-toxicity-classification,2019-07-18 19:35:00,Featured,"$65,000",3165.0,False,
aerial-cactus-identification,2019-07-08 23:59:00,Playground,Knowledge,1221.0,False,
data-science-for-good-city-of-los-angeles,2019-06-21 23:59:00,Analytics,"$15,000",0.0,False,
instant-gratification,2019-06-20 23:59:00,Featured,"$5,000",1818.0,False,
freesound-audio-tagging-2019,2019-06-17 22:22:00,Research,"$5,000",880.0,False,
imaterialist-fashion-2019-FGVC6,2019-06-10 23:59:00,Research,Kudos,241.0,False,
inaturalist-2019-fgvc6,2019-06-10 23:59:00,Research,Kudos,213.0,False,
imet-2019-fgvc6,2019-06-10 22:09:06,Research,Kudos,521.0,False,
iwildcam-2019-fgvc6,2019-06-07 23:59:00,Playground,Kudos,336.0,False,
LANL-Earthquake-Prediction,2019-06-03 23:59:00,Research,"$50,000",4516.0,False,
landmark-recognition-2019,2019-06-03 23:59:00,Research,"$25,000",281.0,False,
landmark-retrieval-2019,2019-06-03 23:59:00,Research,"$25,000",144.0,False,
tmdb-box-office-prediction,2019-05-30 23:59:00,Playground,Knowledge,1395.0,False,
dont-overfit-ii,2019-05-07 23:59:00,Playground,Swag,2316.0,False,
ciphertext-challenge-ii,2019-04-25 23:59:00,Playground,Swag,74.0,False,
data-science-for-good-careervillage,2019-04-23 23:59:00,Analytics,"$15,000",0.0,False,
gendered-pronoun-resolution,2019-04-22 23:59:00,Research,"$25,000",838.0,False,
career-con-2019,2019-04-11 23:59:00,Recruitment,Swag,1443.0,False,
santander-customer-transaction-prediction,2019-04-10 23:59:00,Featured,"$65,000",8751.0,False,
petfinder-adoption-prediction,2019-04-10 01:09:00,Featured,"$25,000",2023.0,False,
mens-machine-learning-competition-2019,2019-04-09 06:00:00,Featured,"$25,000",862.0,False,
womens-machine-learning-competition-2019,2019-04-08 05:10:00,Featured,"$25,000",497.0,False,
histopathologic-cancer-detection,2019-03-30 23:59:00,Playground,Knowledge,1149.0,False,
vsb-power-line-fault-detection,2019-03-21 23:59:00,Featured,"$25,000",1445.0,False,
microsoft-malware-prediction,2019-03-13 23:59:00,Research,"$25,000",2410.0,False,
humpback-whale-identification,2019-02-28 23:59:00,Featured,"$25,000",2120.0,False,
elo-merchant-category-recommendation,2019-02-26 23:59:00,Featured,"$50,000",4110.0,False,
ga-customer-revenue-prediction,2019-02-21 20:04:00,Featured,"$45,000",3611.0,False,
quora-insincere-questions-classification,2019-02-13 23:09:00,Featured,"$25,000",4037.0,False,
reducing-commercial-aviation-fatalities,2019-02-12 23:59:00,Playground,Swag,178.0,False,
pubg-finish-placement-prediction,2019-01-30 23:59:00,Playground,Swag,1528.0,False,
20-newsgroups-ciphertext-challenge,2019-01-16 23:59:00,Playground,Swag,142.0,False,
human-protein-atlas-image-classification,2019-01-10 23:59:00,Featured,"$37,000",2160.0,False,
traveling-santa-2018-prime-paths,2019-01-10 23:59:00,Featured,"$25,000",1867.0,False,
NFL-Punt-Analytics-Competition,2019-01-09 23:59:00,Analytics,"$80,000",0.0,False,
PLAsTiCC-2018,2018-12-17 23:59:00,Featured,"$25,000",1089.0,False,
quickdraw-doodle-recognition,2018-12-04 23:59:00,Featured,"$25,000",1309.0,False,
dont-call-me-turkey,2018-11-26 23:59:00,Playground,Swag,266.0,False,
airbus-ship-detection,2018-11-14 23:59:00,Featured,"$60,000",878.0,False,
inclusive-images-challenge,2018-11-12 23:59:00,Research,"$25,000",468.0,False,
rsna-pneumonia-detection-challenge,2018-10-31 23:59:00,Featured,"$30,000",1499.0,False,
tgs-salt-identification-challenge,2018-10-19 23:59:00,Featured,"$100,000",3219.0,False,
new-york-city-taxi-fare-prediction,2018-09-25 23:59:00,Playground,Knowledge,1483.0,False,
forest-cover-type-kernels-only,2018-09-24 23:59:00,Playground,Knowledge,358.0,False,
demand-forecasting-kernels-only,2018-09-24 23:59:00,Playground,Knowledge,459.0,False,
whats-cooking-kernels-only,2018-09-24 23:59:00,Playground,Knowledge,520.0,False,
flavours-of-physics-kernels-only,2018-09-24 23:59:00,Playground,Knowledge,63.0,False,
movie-review-sentiment-analysis-kernels-only,2018-09-24 23:59:00,Playground,Knowledge,409.0,False,
costa-rican-household-poverty-prediction,2018-09-19 23:59:00,Playground,Swag,616.0,False,
google-ai-open-images-object-detection-track,2018-08-30 23:59:00,Featured,"$30,000",453.0,False,
google-ai-open-images-visual-relationship-track,2018-08-30 23:59:00,Featured,"$20,000",231.0,False,
home-credit-default-risk,2018-08-29 23:59:00,Featured,"$70,000",7176.0,False,
santander-value-prediction-challenge,2018-08-20 23:59:00,Featured,"$60,000",4463.0,False,
trackml-particle-identification,2018-08-13 23:59:00,Featured,"$25,000",651.0,False,
youtube8m-2018,2018-08-06 23:59:00,Featured,"$25,000",312.0,False,
freesound-audio-tagging,2018-08-01 11:59:00,Research,Knowledge,556.0,False,
whale-categorization-playground,2018-07-09 23:59:00,Playground,Kudos,527.0,False,
avito-demand-prediction,2018-06-27 23:59:00,Featured,"$25,000",1868.0,False,
cvpr-2018-autonomous-driving,2018-06-11 23:59:00,Research,"$2,500",141.0,False,
inaturalist-2018,2018-06-04 23:59:00,Research,Kudos,59.0,False,
imaterialist-challenge-fashion-2018,2018-05-30 23:59:00,Research,"$2,500",212.0,False,
imaterialist-challenge-furniture-2018,2018-05-30 23:59:00,Research,"$2,500",426.0,False,
landmark-recognition-challenge,2018-05-29 23:59:00,Research,"$2,500",476.0,False,
landmark-retrieval-challenge,2018-05-29 23:59:00,Research,"$2,500",209.0,False,
talkingdata-adtracking-fraud-detection,2018-05-07 23:59:00,Featured,"$25,000",3943.0,False,
donorschoose-application-screening,2018-04-25 23:59:00,Playground,Swag,580.0,False,
data-science-bowl-2018,2018-04-16 23:59:00,Featured,"$100,000",3634.0,False,
mens-machine-learning-competition-2018,2018-04-02 23:59:00,Featured,"$50,000",933.0,False,
womens-machine-learning-competition-2018,2018-04-01 23:59:00,Featured,"$50,000",504.0,False,
jigsaw-toxic-comment-classification-challenge,2018-03-20 23:59:00,Featured,"$35,000",4539.0,False,
plant-seedlings-classification,2018-03-12 23:59:00,Playground,Kudos,833.0,False,
dog-breed-identification,2018-02-26 23:59:00,Playground,Kudos,1280.0,False,
mercari-price-suggestion-challenge,2018-02-21 20:03:00,Featured,"$100,000",2380.0,False,
nomad2018-predict-transparent-conductors,2018-02-15 23:59:00,Research,"€5,000",878.0,False,
sp-society-camera-model-identification,2018-02-08 23:59:00,Featured,"$25,000",580.0,False,
recruit-restaurant-visitor-forecasting,2018-02-06 23:59:00,Featured,"$25,000",2148.0,False,
statoil-iceberg-classifier-challenge,2018-01-23 23:59:00,Featured,"$50,000",3330.0,False,
tensorflow-speech-recognition-challenge,2018-01-16 23:59:00,Featured,"$25,000",1313.0,False,
favorita-grocery-sales-forecasting,2018-01-15 23:59:00,Featured,"$30,000",1671.0,False,
santa-gift-matching,2018-01-12 23:59:00,Featured,"$25,000",428.0,False,
zillow-prize-1,2018-01-10 15:59:00,Featured,"$1,200,000",3770.0,False,
kkbox-music-recommendation-challenge,2017-12-17 23:59:00,Research,"$5,000",1081.0,False,
kkbox-churn-prediction-challenge,2017-12-17 23:59:00,Research,"$5,000",574.0,False,
passenger-screening-algorithm-challenge,2017-12-15 23:59:00,Featured,"$1,500,000",518.0,False,
spooky-author-identification,2017-12-15 23:59:00,Playground,"$25,000",1242.0,False,
cdiscount-image-classification-challenge,2017-12-14 23:59:00,Featured,"$35,000",626.0,False,
porto-seguro-safe-driver-prediction,2017-11-29 23:59:00,Featured,"$25,000",5156.0,False,
text-normalization-challenge-english-language,2017-11-20 23:59:00,Research,"$25,000",260.0,False,
text-normalization-challenge-russian-language,2017-11-20 23:59:00,Research,"$25,000",162.0,False,
web-traffic-time-series-forecasting,2017-11-15 23:59:00,Research,"$25,000",1095.0,False,
msk-redefining-cancer-treatment,2017-10-02 23:59:00,Research,"$15,000",1386.0,False,
nips-2017-defense-against-adversarial-attack,2017-10-01 23:59:00,Research,Swag,107.0,False,
nips-2017-non-targeted-adversarial-attack,2017-10-01 23:59:00,Research,Swag,91.0,False,
nips-2017-targeted-adversarial-attack,2017-10-01 23:59:00,Research,Swag,65.0,False,
carvana-image-masking-challenge,2017-09-27 23:59:00,Featured,"$25,000",734.0,False,
nyc-taxi-trip-duration,2017-09-15 23:59:00,Playground,"$30,000",1254.0,False,
invasive-species-monitoring,2017-08-15 23:59:00,Playground,Knowledge,511.0,False,
instacart-market-basket-analysis,2017-08-14 23:59:00,Featured,"$25,000",2621.0,False,
planet-understanding-the-amazon-from-space,2017-07-20 23:59:00,Featured,"$60,000",936.0,False,
mercedes-benz-greener-manufacturing,2017-07-10 23:59:00,Featured,"$25,000",3823.0,False,
inaturalist-challenge-at-fgvc-2017,2017-07-07 23:59:00,Research,Knowledge,50.0,False,
imaterialist-challenge-FGVC2017,2017-07-07 23:59:00,Research,Knowledge,28.0,False,
sberbank-russian-housing-market,2017-06-29 23:59:00,Featured,"$25,000",3264.0,False,
noaa-fisheries-steller-sea-lion-population-count,2017-06-27 23:59:00,Featured,"$25,000",385.0,False,
intel-mobileodt-cervical-cancer-screening,2017-06-21 23:59:00,Featured,"$100,000",848.0,False,
quora-question-pairs,2017-06-06 23:59:00,Featured,"$25,000",3295.0,False,
youtube8m,2017-06-02 23:59:00,Featured,"$100,000",655.0,False,
two-sigma-connect-rental-listing-inquiries,2017-04-25 23:59:00,Recruitment,Jobs,2480.0,False,
the-nature-conservancy-fisheries-monitoring,2017-04-12 23:59:00,Featured,"$150,000",2293.0,False,
data-science-bowl-2017,2017-04-12 23:59:00,Featured,"$1,000,000",1972.0,False,
march-machine-learning-mania-2017,2017-04-04 15:00:00,Playground,Swag,441.0,False,
transfer-learning-on-stack-exchange-tags,2017-03-25 23:59:00,Playground,Knowledge,380.0,False,
dstl-satellite-imagery-feature-detection,2017-03-07 23:59:00,Featured,"$100,000",419.0,False,
dogs-vs-cats-redux-kernels-edition,2017-03-02 23:59:00,Playground,Knowledge,1314.0,False,
two-sigma-financial-modeling,2017-03-01 23:59:00,Featured,"$100,000",2063.0,False,
leaf-classification,2017-02-28 23:59:00,Playground,Knowledge,1595.0,False,
santas-uncertain-bags,2017-01-30 23:59:00,Playground,Swag,692.0,False,
outbrain-click-prediction,2017-01-18 23:59:00,Featured,"$25,000",978.0,False,
facial-keypoints-detection,2017-01-07 00:00:00,Getting Started,Knowledge,175.0,False,
street-view-getting-started-with-julia,2017-01-07 00:00:00,Getting Started,Knowledge,56.0,False,
santander-product-recommendation,2016-12-21 23:59:00,Featured,"$60,000",1779.0,False,
allstate-claims-severity,2016-12-12 23:59:00,Recruitment,Jobs,3045.0,False,
melbourne-university-seizure-prediction,2016-12-01 23:59:00,Research,"$20,000",477.0,False,
ghouls-goblins-and-ghosts-boo,2016-12-01 23:59:00,Playground,Knowledge,763.0,False,
bosch-production-line-performance,2016-11-11 23:59:00,Featured,"$30,000",1370.0,False,
painter-by-numbers,2016-10-31 23:59:00,Playground,Knowledge,41.0,False,
integer-sequence-learning,2016-10-31 23:59:00,Playground,Knowledge,284.0,False,
predicting-red-hat-business-value,2016-09-19 23:59:00,Featured,"$50,000",2260.0,False,
talkingdata-mobile-user-demographics,2016-09-05 23:59:00,Featured,"$25,000",1680.0,False,
grupo-bimbo-inventory-demand,2016-08-30 23:59:00,Featured,"$25,000",1963.0,False,
ultrasound-nerve-segmentation,2016-08-18 23:59:00,Featured,"$100,000",922.0,False,
state-farm-distracted-driver-detection,2016-08-01 23:59:00,Featured,"$65,000",1438.0,False,
shelter-animal-outcomes,2016-07-31 23:59:00,Playground,Knowledge,1599.0,False,
avito-duplicate-ads-detection,2016-07-11 23:59:00,Featured,"$20,000",546.0,False,
facebook-v-predicting-check-ins,2016-07-06 23:59:00,Recruitment,Jobs,1209.0,False,
draper-satellite-image-chronology,2016-06-27 23:59:00,Featured,"$75,000",399.0,False,
kobe-bryant-shot-selection,2016-06-13 23:59:00,Playground,Knowledge,1117.0,False,
expedia-hotel-recommendations,2016-06-10 23:59:00,Featured,"$25,000",1971.0,False,
sf-crime,2016-06-06 23:59:00,Playground,Knowledge,2331.0,False,
santander-customer-satisfaction,2016-05-02 23:59:00,Featured,"$60,000",5115.0,False,
home-depot-product-search-relevance,2016-04-25 23:59:00,Featured,"$40,000",2123.0,False,
bnp-paribas-cardif-claims-management,2016-04-18 23:59:00,Featured,"$30,000",2920.0,False,
yelp-restaurant-photo-classification,2016-04-12 23:59:00,Recruitment,Jobs,355.0,False,
march-machine-learning-mania-2016,2016-04-05 06:00:00,Featured,"$25,000",596.0,False,
second-annual-data-science-bowl,2016-03-14 23:59:00,Featured,"$200,000",192.0,False,
telstra-recruiting-network,2016-02-29 23:59:00,Recruitment,Jobs,971.0,False,
prudential-life-insurance-assessment,2016-02-15 23:59:00,Featured,"$30,000",2610.0,False,
the-allen-ai-science-challenge,2016-02-13 23:59:00,Featured,"$80,000",170.0,False,
airbnb-recruiting-new-user-bookings,2016-02-11 23:59:00,Recruitment,Jobs,1458.0,False,
homesite-quote-conversion,2016-02-08 23:59:00,Featured,"$20,000",1755.0,False,
cervical-cancer-screening,2016-02-01 23:59:00,Featured,"$100,000",40.0,False,
the-winton-stock-market-challenge,2016-01-26 23:59:00,Featured,"$50,000",829.0,False,
santas-stolen-sleigh,2016-01-08 23:59:00,Featured,"$20,000",1126.0,False,
noaa-right-whale-recognition,2016-01-07 23:59:00,Research,"$10,000",364.0,False,
walmart-recruiting-trip-type-classification,2015-12-27 23:59:00,Recruitment,Jobs,1043.0,False,
whats-cooking,2015-12-20 23:59:00,Playground,Knowledge,1387.0,False,
rossmann-store-sales,2015-12-14 23:59:00,Featured,"$35,000",3298.0,False,
how-much-did-it-rain-ii,2015-12-07 23:59:00,Research,$500,587.0,False,
deloitte-western-australia-rental-prices,2015-11-30 23:59:00,Featured,"$100,000",59.0,False,
springleaf-marketing-response,2015-10-19 23:59:00,Featured,"$100,000",2221.0,False,
dato-native,2015-10-14 23:59:00,Featured,"$10,000",273.0,False,
flavours-of-physics,2015-10-12 23:59:00,Featured,"$15,000",673.0,False,
denoising-dirty-documents,2015-10-05 23:59:00,Playground,Knowledge,161.0,False,
coupon-purchase-prediction,2015-09-30 23:59:00,Featured,"$50,000",1072.0,False,
introducing-kaggle-scripts,2015-09-28 23:59:00,Playground,Swag,0.0,False,
machinery-tube-pricing,2015-08-31 23:59:00,Featured,"$30,000",1320.0,False,
grasp-and-lift-eeg-detection,2015-08-31 23:59:00,Research,"$10,000",378.0,False,
liberty-mutual-group-property-inspection-prediction,2015-08-28 23:59:00,Featured,"$25,000",2232.0,False,
icdm-2015-drawbridge-cross-device-connections,2015-08-24 23:59:00,Featured,"$10,000",338.0,False,
pycon-2015-tutorial-predict-closed-questions-on-stack-overflow,2015-08-04 23:59:00,Playground,"$20,000",0.0,False,
avito-context-ad-clicks,2015-07-28 23:59:00,Featured,"$20,000",413.0,False,
diabetic-retinopathy-detection,2015-07-27 23:59:00,Featured,"$100,000",660.0,False,
crowdflower-search-relevance,2015-07-06 23:59:00,Featured,"$20,000",1324.0,False,
pkdd-15-predict-taxi-service-trajectory-i,2015-07-01 23:59:00,Research,$250,381.0,False,
pkdd-15-taxi-trip-time-prediction-ii,2015-07-01 23:59:00,Research,$250,345.0,False,
word2vec-nlp-tutorial,2015-06-30 23:59:00,Getting Started,Knowledge,577.0,False,
predict-west-nile-virus,2015-06-17 23:59:00,Featured,"$40,000",1304.0,False,
facebook-recruiting-iv-human-or-bot,2015-06-08 23:59:00,Recruitment,Jobs,983.0,False,
random-acts-of-pizza,2015-06-01 23:59:00,Playground,Knowledge,462.0,False,
poker-rule-induction,2015-06-01 23:59:00,Playground,Knowledge,207.0,False,
bike-sharing-demand,2015-05-29 23:59:00,Playground,Knowledge,3242.0,False,
walmart-recruiting-sales-in-stormy-weather,2015-05-25 23:59:00,Recruitment,Jobs,484.0,False,
otto-group-product-classification-challenge,2015-05-18 23:59:00,Featured,"$10,000",3507.0,False,
how-much-did-it-rain,2015-05-15 23:59:00,Research,$500,319.0,False,
forest-cover-type-prediction,2015-05-11 23:59:00,Playground,Knowledge,1692.0,False,
restaurant-revenue-prediction,2015-05-04 23:59:00,Featured,"$30,000",2257.0,False,
15-071x-the-analytics-edge-competition-spring-2015,2015-05-04 23:59:00,Research,Knowledge,2920.0,False,
billion-word-imputation,2015-05-01 23:59:00,Playground,Knowledge,87.0,False,
malware-classification,2015-04-17 23:59:00,Research,"$16,000",377.0,False,
march-machine-learning-mania-2015,2015-04-07 23:59:00,Featured,"$15,000",340.0,False,
15-071x-the-analytics-edge-spring-20152,2015-04-04 00:02:14,Research,Knowledge,0.0,False,
finding-elo,2015-03-23 23:59:00,Playground,Knowledge,157.0,False,
datasciencebowl,2015-03-16 23:59:00,Featured,"$175,000",1049.0,False,
axa-driver-telematics-analysis,2015-03-16 23:59:00,Featured,"$30,000",1524.0,False,
sentiment-analysis-on-movie-reviews,2015-02-28 23:59:00,Playground,Knowledge,860.0,False,
inria-bci-challenge,2015-02-24 23:59:00,Research,"$1,000",260.0,False,
avazu-ctr-prediction,2015-02-09 23:59:00,Featured,"$15,000",1602.0,False,
helping-santas-helpers,2015-01-07 23:59:00,Featured,"$20,000",437.0,False,
data-science-london-scikit-learn,2014-12-31 23:59:00,Getting Started,Knowledge,190.0,False,
seizure-prediction,2014-11-17 23:59:00,Research,"$25,000",504.0,False,
tradeshift-text-classification,2014-11-10 23:59:00,Featured,"$5,000",374.0,False,
learning-social-circles,2014-10-28 23:59:00,Playground,Knowledge,202.0,False,
afsis-soil-properties,2014-10-21 23:59:00,Research,"$8,000",1231.0,False,
cifar-10,2014-10-18 23:59:00,Playground,Knowledge,231.0,False,
criteo-display-ad-challenge,2014-09-23 23:59:00,Research,"$16,000",717.0,False,
higgs-boson,2014-09-15 23:59:00,Featured,"$13,000",1784.0,False,
liberty-mutual-fire-peril,2014-09-02 23:59:00,Featured,"$25,000",632.0,False,
avito-prohibited-content,2014-08-31 23:59:00,Featured,"$25,000",284.0,False,
seizure-detection,2014-08-19 23:59:00,Research,"$8,000",200.0,False,
decoding-the-human-brain,2014-07-27 23:59:00,Research,"$5,000",267.0,False,
mlsp-2014-mri,2014-07-20 23:59:00,Research,Kudos,313.0,False,
